Model,Metric,K,Original,Fine-tuned,Improvement,Improvement_%
Google Gemma (300M),RECALL,1,0.07086614173228346,0.8661417322834646,0.7952755905511811,1122.2222222222224
Google Gemma (300M),MRR,1,0.07086614173228346,0.8661417322834646,0.7952755905511811,1122.2222222222224
Google Gemma (300M),NDCG,1,0.07086614173228346,0.8661417322834646,0.7952755905511811,1122.2222222222224
Google Gemma (300M),CONTEXT_PRECISION,1,0.07086614173228346,0.8661417322834646,0.7952755905511811,1122.2222222222224
Google Gemma (300M),RECALL,3,0.16535433070866143,0.9586614173228346,0.7933070866141732,479.76190476190465
Google Gemma (300M),MRR,3,0.11384514435695542,0.9074803149606299,0.7936351706036744,697.1181556195962
Google Gemma (300M),NDCG,3,0.1271309869586634,0.9206491183352103,0.7935181313765469,624.1736577051503
Google Gemma (300M),CONTEXT_PRECISION,3,0.05511811023622041,0.31955380577427867,0.26443569553805824,479.7619047619062
Google Gemma (300M),RECALL,5,0.25393700787401574,0.9744094488188977,0.7204724409448819,283.72093023255815
Google Gemma (300M),MRR,5,0.13372703412073497,0.9114173228346456,0.7776902887139107,581.5505397448475
Google Gemma (300M),NDCG,5,0.16329732326576776,0.9274314263363663,0.7641341030705986,467.94037268263355
Google Gemma (300M),CONTEXT_PRECISION,5,0.050787401574803034,0.19488188976378124,0.1440944881889782,283.72093023256235
Google Gemma (300M),RECALL,10,0.3858267716535433,0.9901574803149606,0.6043307086614174,156.63265306122452
Google Gemma (300M),MRR,10,0.15098737657792785,0.9134209786276714,0.7624336020497435,504.9651297545626
Google Gemma (300M),NDCG,10,0.20561864778471847,0.9324295073162686,0.7268108595315501,353.47516743350866
Google Gemma (300M),CONTEXT_PRECISION,10,0.038582677165354344,0.09901574803149694,0.0604330708661426,156.63265306122668
BAAI BGE-M3,RECALL,1,0.8149606299212598,0.8287401574803149,0.013779527559055094,1.6908212560386444
BAAI BGE-M3,MRR,1,0.8149606299212598,0.8287401574803149,0.013779527559055094,1.6908212560386444
BAAI BGE-M3,NDCG,1,0.8149606299212598,0.8287401574803149,0.013779527559055094,1.6908212560386444
BAAI BGE-M3,CONTEXT_PRECISION,1,0.8149606299212598,0.8287401574803149,0.013779527559055094,1.6908212560386444
BAAI BGE-M3,RECALL,3,0.9507874015748031,0.9566929133858267,0.0059055118110236116,0.6211180124223592
BAAI BGE-M3,MRR,3,0.877296587926509,0.8871391076115485,0.009842519685039464,1.1219147344801905
BAAI BGE-M3,NDCG,3,0.89627627398763,0.9050878507311619,0.008811576743531946,0.9831317640852288
BAAI BGE-M3,CONTEXT_PRECISION,3,0.3169291338582681,0.318897637795276,0.001968503937007926,0.6211180124223759
BAAI BGE-M3,RECALL,5,0.9783464566929134,0.9803149606299213,0.0019685039370078705,0.2012072434607642
BAAI BGE-M3,MRR,5,0.883792650918635,0.8926509186351704,0.008858267716535417,1.00230158140916
BAAI BGE-M3,NDCG,5,0.9078002440854099,0.9149162438286528,0.00711599974324284,0.7838728607538614
BAAI BGE-M3,CONTEXT_PRECISION,5,0.1956692913385844,0.19606299212598596,0.00039370078740155745,0.20120724346075394
BAAI BGE-M3,RECALL,10,0.9980314960629921,0.9881889763779528,-0.009842519685039353,-0.9861932938855998
BAAI BGE-M3,MRR,10,0.8865126234220719,0.8939632545931757,0.007450631171103783,0.8404427612483654
BAAI BGE-M3,NDCG,10,0.914257363481045,0.9177210248295034,0.0034636613484583245,0.3788497076217571
BAAI BGE-M3,CONTEXT_PRECISION,10,0.0998031496063001,0.09881889763779615,-0.0009842519685039491,-0.9861932938856048
all-MiniLM-L6-v2 (22M),RECALL,1,0.2440944881889764,0.5039370078740157,0.25984251968503935,106.4516129032258
all-MiniLM-L6-v2 (22M),MRR,1,0.2440944881889764,0.5039370078740157,0.25984251968503935,106.4516129032258
all-MiniLM-L6-v2 (22M),NDCG,1,0.2440944881889764,0.5039370078740157,0.25984251968503935,106.4516129032258
all-MiniLM-L6-v2 (22M),CONTEXT_PRECISION,1,0.2440944881889764,0.5039370078740157,0.25984251968503935,106.4516129032258
all-MiniLM-L6-v2 (22M),RECALL,3,0.41732283464566927,0.6909448818897638,0.2736220472440945,65.56603773584906
all-MiniLM-L6-v2 (22M),MRR,3,0.32020997375328075,0.5862860892388454,0.26607611548556465,83.0942622950821
all-MiniLM-L6-v2 (22M),NDCG,3,0.3451418625984279,0.6131628247398797,0.2680209621414518,77.65530385784986
all-MiniLM-L6-v2 (22M),CONTEXT_PRECISION,3,0.13910761154855658,0.2303149606299201,0.09120734908136352,65.56603773584804
all-MiniLM-L6-v2 (22M),RECALL,5,0.49015748031496065,0.781496062992126,0.2913385826771654,59.43775100401607
all-MiniLM-L6-v2 (22M),MRR,5,0.3365485564304461,0.6070538057742781,0.270505249343832,80.37629167479042
all-MiniLM-L6-v2 (22M),NDCG,5,0.37487095980861945,0.6505220184513718,0.27565105864275236,73.53225194703766
all-MiniLM-L6-v2 (22M),CONTEXT_PRECISION,5,0.09803149606299245,0.15629921259842636,0.0582677165354339,59.43775100401672
all-MiniLM-L6-v2 (22M),RECALL,10,0.5984251968503937,0.860236220472441,0.2618110236220472,43.74999999999999
all-MiniLM-L6-v2 (22M),MRR,10,0.3511740719910008,0.6174579740032493,0.2662839020122485,75.82675466401525
all-MiniLM-L6-v2 (22M),NDCG,10,0.4100525073212405,0.6758844432882765,0.26583193596703597,64.82875515227121
all-MiniLM-L6-v2 (22M),CONTEXT_PRECISION,10,0.05984251968503969,0.08602362204724479,0.026181102362205097,43.75000000000039
